Reference,Value,Footprint,Count,Datasheet,FootprintLib,MPN,MYPN,Manufacturer,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive,DNP,Description,AManufacturer,APN,DPN,AMPN
C23,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C25,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
U7,Crystal Oscillator,XTAL-2520,1,https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf,tomu-fpga,XC2756CT-ND,,ECS,,,,,XTAL OSC XO 48.0000MHZ CMOS SMD,,,XC2756CT-ND,
C11,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
U5,ICE40UP5K-UWG30,iCE40UP5K-UWG30,1,http://www.latticesemi.com/Products/FPGAandCPLD/iCE40Ultra,tomu-fpga,ICE40UP5K-UWG30ITR,,Lattice,,,,,"ICE40-ULTRAPLUS, 5280 LUTS, 1.2V",,, 	ICE40UP5K-UWG30ITR-ND ,
U4,SPI Flash,SON50P300X200X60-9N,1,http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf,tomu-fpga,GD25Q16CEIGR,,GigaDevice Semiconductor (HK) Limited,,,,,IC FLASH 128M SPI 133MHZ 8SOIC,Macronix,MX25R1635FZUIH0,1970-1011-6-ND,
U1,LDO-X2SON-1.2V,Texas_X2SON-4_1x1mm_P0.65mm,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,LP5907SNX-1.2/NOPB,,TI,,,,,,Microchip,576-4305-1-ND,,MIC5504-1.2YMT
U2,LDO-X2SON-3.3V,Texas_X2SON-4_1x1mm_P0.65mm,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,LP5907SNX-3.3/NOPB,,TI,,,,,,Microchip,576-4305-1-ND,296-39066-2-ND ,MIC5504-3.3YMT
U3,LDO-X2SON-2.5V,Texas_X2SON-4_1x1mm_P0.65mm,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,LP5907SNX-2.5/NOPB,,TI,,,,,,Microchip,576-4305-1-ND,296-40371-2-ND,MIC5504-2.5YMT
TP2,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP3,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP4,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP5,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP6,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP7,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP8,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP9,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP1,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP12,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP10,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
TP11,Testpoint,testpoint,1,,tomu-fpga,,,,,,,X,,,,,
XX1,Touchpad Mask Removal,soldermask-removal,1,,tomu-fpga,DNP,DNP,DNP,Touchpad Mask Removal,N,X,X,,,,,
XX2,Case,nothing,1,,tomu-fpga,Tomu-FPGA-Case,,Jiada,Case,N,X,X,"Case for Tomu, customized for FPGA",,,,
XX3,ESD Bag,nothing,1,,tomu-fpga,Tomu-ESD-Bag,,ANY,ESD Bag,N,X,X,ESD bag containing case and PCBA,,,,
D1,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D2,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D3,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D4,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D6,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D7,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,tomu-fpga,D5V0L1B2LP3-7,,Diodes Incorporated,,,,,,,,,
D5,VCUT05E1-SD0,TVS-11V,1,http://www.vishay.com/docs/85900/vcut05e1-sd0.pdf,tomu-fpga,VCUT05E1-SD0-G4-08,,Vishay Semiconductor Diodes Division,,,,,,,,,
R10,"0201, 100ohm, 1/16W, 1%",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1.5k,Y,R,,,,,,
C20,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
C17,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
